old.word,new.word
bannister,Bannister
banquet,banquet
bar,bar
barb,barb
barbacues,barbecues
barbara,Barbara
barbed,barbed
barbeque,barbecue
barbershop,barbershop
bare,bare
barely,barely
barge,barge
barger,barge
bargers,barges
barges,barges
baristas,baristas
bark,bark
barnacle,barnacle
barnes,Barnes
barnicals,carnivals
barrel,barrel
barrells,barrels
barrels,barrels
barrett,Barrett
barricade,barricade
barricades,barricades
barrier,barrier
barriers,barriers
bars,bars
base,base
baseboard,baseboard
baseboards,baseboards
based,based
basememt,basement
basement,basement
basementbedbugs,basement bedbugs
basementelectrical,basement electrical
basementhbmc,basement
basementinstalling,basement installing
basementland,basement land
basementlu,basement
basementmaintaining,basement maintaining
basementno,basement no
basementpermit,basement permit
basementst,basements
basementstop,basement stop
basementviolation,basement violation
bases,bases
basically,basically
basin,basin
basins,basins
basis,basis
basket,basket
baskets,baskets
basment,basement
bath,bath
bathrm,bath rm
bathroom,bathroom
bathrooms,bathrooms
bathrorom,bathroom
bathtub,bathtub
batteries,batteries
battery,battery
baucom,glaucoma
bay,bay
bayley,bailey
bayleys,baileys
bays,bays
bb,BB
bberry,berry
bbq,BBQ
bc,BC
bdlg,bldg
bdrm,bdrm
beach,beach
beacon,beacon
beaks,beaks
beam,beam
beams,beams
beamsowner,beams owner
bear,bear
bearing,bearing
bearings,bearings
beaton,baton
beau,beau
beaulieu,beau lieu
beaulieuinvestigation,investigation
beauty,beauty
become,become
becomes,becomes
bed,bed
bedbug,bedbug
bedbugs,bedbugs
bedded,bedded
bedding,bedding
bedrm,berm
bedrms,berms
bedroom,bedroom
bedroominspection,bedroom inspection
bedroomkb,bedroom
bedrooms,bedrooms
bedroomviolation,bedroom violation
beds,beds
bedspring,bed spring
bee,bee
beer,beer
bees,bees
beetle,beetle
began,began
begin,begin
beginning,beginning
begun,begun
behavior,behavior
behind,behind
believe,believe
believed,believed
believes,believes
belinda,Belinda
bell,bell
belly,belly
belonging,belonging
belongings,belongings
belongs,belongs
belts,belts
bemis,semis
ben,Ben
bench,bench
benches,benches
bends,bends
beneath,beneath
benjamin,Benjamin
bennett,Bennett
bent,bent
bentler,gentler
benz,Benz
beppo,Aleppo
berg,berg
bergum,begum
berier,verier
berries,berries
berry,berry
berth,berth
beside,beside
best,best
better,better
betty,Betty
beverage,beverage
beverages,beverages
beware,beware
bexcessive,excessive
beyond,beyond
bf,bf
bg,bf
bginspection,inspection
bgjunk,junk
bgsent,absent
bgsite,bombsite
bgtree,subtree
bgviolation,violation
bgweeds,weeds
bgzone,begone
bi,bi
bible,bible
bicycle,bicycle
bicycles,bicycles
bicyclists,bicyclists
bids,bids
bieber,bier
big,big
bigger,bigger
bike,bike
bikes,bikes
bill,bill
billboard,billboard
billboardviolation,billboard violation
bills,bills
bin,bin
bins,bins
binspermit,bins permit
bio,bio
biodiesel,bio diesel
biologist,biologist
biran,bran
bird,bird
bites,bites
bixon,bison
bkn,bk
black,black
blackberries,blackberries
blackberry,blackberry
blacked,blacked
blacks,blacks
blaine,Blaine
blair,blare
blamed,blamed
blank,blank
blanket,blanket
blankets,blankets
blanks,blanks
blazer,blazer
bld,bl
bldg,bldg
bldgexterior,bldg exterior
bldgs,bldg
blding,bling
bldingapplication,misapplication
bldingas,blinding
bldinghbmcminor,boardinghouse
ble,bl
bleeding,bleeding
blevins,Blevins
blging,bling
blind,blind
blinds,blinds
blinheim,Blenheim
blk,bl
block,block
blockage,blockage
blocked,blocked
blocking,blocking
blocks,blocks
blog,blog
blooms,blooms
blow,blow
blower,blower
blowing,blowing
blown,blown
blue,blue
blueheron,blue heron
blues,blues
blurry,blurry
bmp,bpm
bmps,bps
bmw,BMW
bn,b
bnr,bar
bnusiness,business
board,board
boarded,boarded
boarding,boarding
boardroom,boardroom
boards,boards
boat,boat
boathouse,boathouse
boatlift,boat lift
boats,boats
bob,bob
bobcat,bobcat
boccamazzo,Boccaccio
body,body
boeing,Boeing
boileau,boiler
boiler,boiler
boley,bola
bolls,bolls
bolt,bolt
bon,nob
bongos,bongos
bonterra,Montserrat
bonus,bonus
boogarts,Bogart
book,book
bookingacadia,bookbinding
bookingobserved,booking observed
books,books
boom,boom
booms,booms
booth,booth
booths,booths
border,border
borings,boring
borjesson,boorishness
borkend,bookend
boss,boss
bot,bot
botanica,botanic
botanical,botanical
bothered,bothered
bottles,bottles
bottom,bottom
bought,bought
boulders,boulders
bounced,bounced
bound,bound
boundary,boundary
boundaryes,boundaries
boutique,boutique
bowed,bowed
bowlby,bowl by
box,box
boxes,boxes
boxex,boxes
boxing,boxing
boxspring,box spring
boyer,Boyer
boyfreind,boyfriend
boyfriend,boyfriend
boylston,Boston
bp,BP
br,BR
bracing,bracing
brad,brad
bradrick,brad rick
brake,brake
branch,branch
branches,branches
brand,brand
brandon,Brandon
branhes,branches
brannan,Brianna
brannin,Brain
braseth,brasserie
bratz,brat
bravo,bravo
brc,bra
breach,breach
breached,breached
bread,bread
break,break
breakdown,breakdown
breaker,breaker
breakers,breakers
breakfast,breakfast
breaking,breaking
brennan,Brennan
brent,Brent
brett,Brett
bretz,Bret
brewery,brewery
brewing,brewing
brewpub,brewpub
brews,brews
brian,brain
briar,brier
brick,brick
bricks,bricks
bridge,bridge
bridges,bridges
bridgevacant,bridge vacant
brigadoon,Brigadoon
bright,bright
brighton,Brighton
bring,bring
bringing,bringing
brkn,bran
broadacres,broad acres
broadband,broadband
broadcasting,broadcasting
broadway,Broadway
broadwayinsp,Broadway
brochures,brochures
broecker,broker
broeckero,broker
broiler,broiler
broke,broke
broken,broken
brooklyn,Brooklyn
broom,broom
brothers,brothers
brought,brought
brown,brown
bruce,Bruce
bruck,brick
bruno,Bruno
brush,brush
brushes,brushes
bryan,Bryan
bserved,served
bsmt,smut
bsmthbmc,blacksmith
bubbles,bubbles
bubbling,bubbling
bubles,bibles
buca,buck
bucket,bucket
buckets,buckets
buckle,buckle
buckstove,buck stove
bud,bud
budda,buddy
budiling,building
buffalo,buffalo
buffer,buffer
bug,bug
bugging,bugging
bugs,bugs
buick,Buick
buiding,biding
buidling,building
build,build
builder,builder
buildiing,building
building,building
buildingapplication,building application
buildingas,buildings
buildingboiler,building boiler
buildinghousin,shipbuilding
buildinginitial,building initial
buildinginspection,building inspection
buildingland,building land
buildingloose,building loose
buildinglu,building
buildingobserved,building observed
buildingoff,building off
buildingpermit,building permit
buildingroof,building roof
buildings,buildings
buildingsbuilding,buildings building
buildingsecure,building secure
buildingst,buildings
buildingsunfit,buildings unfit
buildingthis,building this
buildingvacant,building vacant
buildingvacate,building vacate
buildingw,building
buildingweeds,building weeds
builing,building
buillding,building
built,built
buisness,business
buisnesses,businesses
buiulding,building
bulb,bulb
bulbs,bulbs
bulding,building
bulging,bulging
bulkhead,bulkhead
bulkheading,bulk heading
bull,bull
bulldozer,bulldozer
bulletin,bulletin
bullpen,bullpen
bumber,number
bump,bump
bumper,bumper
bumpouts,bum pouts
bunch,bunch
bungalow,bungalow
bunker,bunker
burdett,Burnett
burdick,burdock
burhead,bur head
buried,buried
burn,burn
burned,burned
burner,burner
burners,burners
burning,burning
burnt,burnt
bus,bus
buses,buses
bush,bush
bushed,bushed
bushes,bushes
bushesbldg,bushes bldg
business,business
businesses,businesses
busness,business
buss,buss
busses,buses
busted,busted
buster,buster
busy,busy
butcher,butcher
buttressing,buttressing
butts,butts
buy,buy
buyers,buyers
buzzer,buzzer
c,c
ca,ca
caapplication,ca application
cab,cab
cabana,cabana
cabaret,cabaret
cabinet,cabinet
cabinetry,cabinetry
cabinets,cabinets
cable,cable
cables,cables
cabrini,Cabrini
cabs,cabs
cac,vac
cadet,cadet
cadilac,Cadillac
cadillac,Cadillac
cafe,cafe
cafepermit,cafe permit
caford,ca ford
cage,cage
calculations,calculations
calendar,calendar
calibrated,calibrated
california,California
caliper,caliper
calk,calk
calking,calking
call,call
callbox,call box
called,called
caller,caller
calling,calling
callled,called
calls,calls
calozzi,caloric
calportland,Portland
calucations,allocations
calvin,Calvin
cam,cam
camaro,carom
cambridge,Cambridge
came,came
camera,camera
camero,cameo
camino,amino
camion,cation
camp,camp
camper,camper
campers,campers
camping,camping
campsite,campsite
camry,Camry
cams,cams
can,can
canceled,canceled
cancelled,canceled
canda,panda
cannabis,cannabis
cannon,cannon
canopies,canopies
canopy,canopy
cans,cans
cantilever,cantilever
cantilevered,cantilevered
cantilevers,cantilevers
cantlevered,cantilevered
canton,canton
caowner,ca owner
cap,cap
capitol,capitol
capped,capped
capping,capping
caps,caps
capture,capture
captured,captured
car,car
carboard,cardboard
card,card
cardbaoards,cardboard
cardboard,cardboard
cardboardviolation,cardboard violation
cards,cards
care,care
career,career
carell,car ell
caretaker,caretaker
cargo,cargo
carkeek,carjacker
carl,Carl
carleton,Carlton
carmine,carmine
carol,carol
carpenter,carpenter
carpentry,carpentry
carper,carper
carpet,carpet
carpeting,carpeting
carpets,carpets
carpool,carpool
carport,carport
carports,carports
carrying,carrying
cars,cars
cart,cart
cartons,cartons
carts,carts
cartw,cart
carwashing,car washing
cascade,cascade
case,case
casebuilding,case building
casecreated,case created
casedemolition,case demolition
casejunk,case junk
casemultiple,case multiple
caseobserved,case observed
caseper,case per
caseplumbing,case plumbing
cases,cases
casetwo,case two
caseweeds,case weeds
caseworker,caseworker
casey,Casey
casing,casing
casings,casings
cast,cast
cat,cat
catagory,category
catch,catch
catering,catering
cats,cats
caught,caught
caulk,caulk
caulkin,caulking
caulking,caulking
cause,cause
caused,caused
causing,causing
caution,caution
caved,caved
caving,caving
cavity,cavity
cb,CB
cbre,care
cconfirm,confirm
cd,CD
cdl,cl
cease,cease
cecil,Cecil
cedar,cedar
cedars,cedars
cedergreen,ceder green
ceiling,ceiling
ceilings,ceilings
ceing,ceding
cell,cell
cellular,cellular
celtic,Celtic
cement,cement
center,center
centerfolds,centerfolds
central,central
century,century
ceo,CEO
ceretificate,certificate
cerfification,certification
cerification,verification
cert,cert
certain,certain
certifcation,certification
certificate,certificate
certificates,certificates
certification,certification
certificationan,certification an
certificationapplication,certification application
certifiction,certification
certified,certified
cf,cf
cfb,cf
chad,chad
chaie,chair
chain,chain
chains,chains
chair,chair
chairm,chair
chairs,chairs
chalking,chalking
chamber,chamber
chamberlain,chamberlain
championship,championship
chandler,chandler
chang,sang
change,change
changed,changed
changes,changes
changing,changing
channelizing,channelizing
channels,channels
chapel,chapel
chaperone,chaperon
chapter,chapter
characteristic,characteristic
charge,charge
charged,charged
charges,charges
charging,charging
charles,Charles
charts,charts
chase,chase
chaseobserved,chase observed
chassis,chassis
chatham,chat ham
chaulking,chalking
chavalia,Bacchanalia
cheap,cheap
check,check
checked,checked
checking,checking
checklist,checklist
chef,chef
chemical,chemical
chemotherapy,chemotherapy
chen,teen
cherry,cherry
chest,chest
chev,chem
chevalia,Chevalier
chevette,couchette
chevrolet,Chevrolet
chevy,Chevy
chges,chge
chicken,chicken
chickens,chickens
chief,chief
child,child
children,children
chimney,chimney
chin,chin
chinese,Chinese
chinn,chin
chip,chip
chipper,chipper
chipping,chipping
chips,chips
chiropractic,chiropractic
chocked,chocked
chooses,chooses
chopped,chopped
chose,chose
chp,tip
chpater,chapter
chris,Chris
christa,Christa
christian,christian
christine,Christine
christman,christian
christmas,Christmas
chrome,chrome
chunks,chunks
chupacabara,Copacabana
chupacabra,abracadabra
church,church
chute,chute
cider,cider
cieling,ceiling
cigarette,cigarette
cinder,cinder
cindy,Cindy
cine,cine
cinko,pinko
cinversion,conversion
circle,circle
circuit,circuit
circuitry,circuitry
circuits,circuits
circumstances,circumstances
cistern,cistern
citation,citation
citationlarge,citation large
citations,citations
cite,cite
cited,cited
cites,cites
citiation,vitiation
cities,cities
citing,citing
citizen,citizen
city,city
citylight,city light
civic,civic
civil,civil
cj,ch
ck,ck
cked,caked
claimed,claimed
claiming,claiming
claims,claims
claremont,Clarendon
clarence,Clarence
clarification,clarification
clark,Clark
class,class
classes,classes
classification,classification
clay,clay
clean,clean
cleaned,cleaned
cleaner,cleaner
cleaners,cleaners
cleaning,cleaning
clear,clear
clearance,clearance
clearances,clearances
cleared,cleared
clearence,clearance
clearify,clarify
clearing,clearing
clearly,clearly
clen,clean
cleveland,Cleveland
click,click
client,client
clifton,Clifton
climate,climate
climbed,climbed
climbing,climbing
clinic,clinic
clip,clip
clippings,clippings
clock,clock
clogged,clogged
clogs,clogs
close,close
closeapplication,close application
closed,closed
closedpossible,closed possible
closeelectrical,close electrical
closeeo,closeout
closer,closer
closes,closes
closest,closest
closet,closet
closets,closets
closezoning,close zoning
closing,closing
closure,closure
clothes,clothes
clothing,clothing
clothings,clothing
cloverdale,clover dale
club,club
cluster,cluster
clutter,clutter
cmplnt,compliant
cmu,cum
cn,cm
cntractors,contractors
co,co
coach,coach
coaches,coaches
coaching,coaching
coalition,coalition
cockroach,cockroach
cockroaches,cockroaches
cockroches,cockroaches
code,code
codearea,code area
codeconduct,code conduct
codeconstr,reconstruct
codecopper,code copper
coded,coded
codediamond,code diamond
codediscarded,code discarded
codedrainage,code drainage
codeextensive,code extensive
codegarage,code garage
codehomeless,code homeless
codehousing,code housing
codeinop,codeine
codeinoperable,code inoperable
codeinspect,code inspect
codejunk,code junk
codelarge,code large
codelight,co delight
codemassive,code massive
codemisc,code misc
codemiscellaneous,code miscellaneous
codenon,code non
codeobserve,code observe
codeobserved,code observed
codeoutdoor,code outdoor
codepermit,code permit
codeplayground,code playground
codes,codes
codesee,code see
codeshipping,code shipping
codesofa,code sofa
codesoil,code soil
codestop,code stop
codetaco,code taco
codetrash,code trash
codeun,codeine
codeunit,code unit
codeunsecured,code unsecured
codevacant,code vacant
codeviolation,code violation
codewater,code water
codezonegarage,code zone garage
cof,cod
coffe,coffee
coffee,coffee
coil,coil
cold,cold
cole,Cole
colin,Colin
collaped,collapsed
collapse,collapse
collapsed,collapsed
collapsedhome,collapsed home
collapsing,collapsing
collasped,collapsed
collect,collect
collected,collected
collection,collection
collections,collections
collective,collective
college,college
collision,collision
colman,conman
colonial,colonial
color,color
colors,colors
colsed,closed
columbia,Columbia
column,column
columns,columns
com,com
comaplaint,complaint
combination,combination
combined,combined
combustible,combustible
combustibles,combustibles
combustiblesextensive,combustibles extensive
combustive,combustive
come,come
comercial,commercial
comes,comes
comforter,comforter
coming,coming
comm,comm
commecial,commercial
commencing,commencing
comment,comment
commented,commented
comments,comments
commercial,commercial
commerical,commercial
commissary,commissary
commission,commission
commitment,commitment
commmon,common
commom,common
common,common
communal,communal
communicated,communicated
communication,communication
communications,communications
community,community
comp,comp
compaction,compaction
compainant,complainant
companies,companies
companion,companion
company,company
compare,compare
compared,compared
comparison,comparison
compass,compass
compcase,comp case
compl,comp
complaiant,complaint
complaiint,complaint
complainace,complain ace
complainaint,complainant
complainant,complainant
complainants,complainants
complainantspoke,complainant spoke
complainantwith,complainant with
complained,complained
complaining,complaining
complains,complains
complaint,complaint
complaintant,complainant
complaints,complaints
complant,complaint
complete,complete
completed,completed
completedapplication,completed application
completedgrading,completed grading
completeexcavation,complete excavation
completely,completely
completion,completion
complex,complex
complexviolations,complex violations
complianant,complainant
compliance,compliance
complianceweeds,compliance weeds
compliant,compliant
complianttenant,compliant tenant
complies,complies
complinace,compliance
compllaint,complaint
complt,comply
comply,comply
components,components
composed,composed
compost,compost
composting,composting
compressor,compressor
compressors,compressors
compromise,compromise
compromised,compromised
computer,computer
computers,computers
con,con
concealed,concealed
concern,concern
concerned,concerned
concerning,concerning
concernland,concern land
concerns,concerns
concerts,concerts
concluded,concluded
conco,coco
concourse,concourse
concrete,concrete
concreteadequate,concrete adequate
concretecontinuation,concrete continuation
concreteralph,concreteness
conctete,concrete
concurrs,concurs
condensation,condensation
condenser,condenser
condensing,condensing
condition,condition
conditional,conditional
conditionflooding,condition flooding
conditioning,conditioning
conditionint,conditioning
conditionlack,condition lack
conditionno,condition no
conditionobserved,condition observed
conditions,conditions
conditionsewage,condition sewage
conditionsgarage,conditions garage
conditionshousing,conditions housing
conditionsinspection,conditions inspection
conditionsint,conditions int
conditionsopen,conditions open
conditionsoutdoor,conditions outdoor
conditionsspd,condition's
conditionssquatter,conditions squatter
conditionsunfit,conditions unfit
conditionsvacant,conditions vacant
conditionsviolation,conditions violation
conditionwater,condition water
condo,condo
condominium,condominium
condominiums,condominiums
condominiun,condominium
condos,condos
condtions,conditions
conduct,conduct
conducted,conducted
conducting,conducting
conduit,conduit
cones,cones
conf,con
conference,conference
confidential,confidential
configuation,configuration
configuration,configuration
confirm,confirm
confirmation,confirmation
confirmed,confirmed
confirming,confirming
confirms,confirms
conflict,conflict
conflicts,conflicts
conform,conform
conformance,conformance
conforming,conforming
conforms,conforms
confronted,confronted
congestion,congestion
congregate,congregate
conifer,conifer
conitionssee,consecrations
conjunction,conjunction
connaway,Conway
connect,connect
connected,connected
connecting,connecting
connection,connection
connections,connections
connects,connects
conscious,conscious
consecutive,consecutive
consent,consent
consented,consented
consider,consider
considerable,considerable
considered,considered
consistant,consistent
consisted,consisted
consistent,consistent
consisting,consisting
consists,consists
const,cons
constant,constant
constitudes,constitutes
constitute,constitute
constr,cons tr
constractors,contractors
constrol,control
construcion,construction
construciton,construction
construct,construct
constructed,constructed
constructing,constructing
construction,construction
constructionwall,construction wall
constructuin,construction
construcution,construction
consult,consult
consultant,consultant
consultants,consultants
consultation,consultation
consulted,consulted
consulting,consulting
contact,contact
contacted,contacted
contacting,contacting
contacts,contacts
contain,contain
contained,contained
container,container
containers,containers
containersland,containers land
containing,containing
containment,containment
contains,contains
contaminated,contaminated
contamination,contamination
contct,contact
contempory,contemporary
content,content
contents,contents
contested,contested
context,context
continually,continually
continuation,continuation
continue,continue
continueapplication,continue application
continued,continued
continues,continues
continuing,continuing
continuous,continuous
continuously,continuously
contoured,contoured
contract,contract
contracto,contract
contractor,contractor
contractorconstructed,contractor constructed
contractors,contractors
contracts,contracts
contractual,contractual
contrary,contrary
contrators,contractors
contributed,contributed
contributing,contributing
control,control
controls,controls
convenience,convenience
conventional,conventional
conversation,conversation
conversations,conversations
conversion,conversion
conversionbuilding,conversion building
conversioncase,conversion case
conversioncondo,conversion condo
conversionhbmc,conversation
conversionii,conversion ii
conversioninspected,conversion inspected
conversioninspection,conversion inspection
conversionrs,conversions
conversionviolation,conversion violation
conversionviolations,conversion violations
convert,convert
converted,converted
converting,converting
